,Unnamed: 0,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
0,0,Cairnhill Crest,0.7764084140459696,0.7332142367959023,0.5222519934177399,0.1457912564277649,-0.9986314177513124
1,1,Peirce View Condominium,0.7691858772720609,0.0043378770351409,0.6467603134072345,0.0178016722202301,0.0
2,2,Rosewood,0.6116846452156702,0.5798091888427734,0.8003082044270574,0.1931132997075716,0.7152697018214634
3,3,Hillview Park,0.6813715928130679,0.9907318711280824,0.3862722488966855,0.4284879134760962,-0.384624821799142
4,4,Kensington Park Condominium,0.9985467791557312,0.9991594851016998,0.7769490116172366,-0.0541936755180358,0.999687433242798
0,0,The Esparis,0.1984518885612488,0.0,0.5978584140539169,0.5981664061546326,0.1667999923229217
1,1,Hillington Green,0.3332579632600148,0.0,0.0800163646539052,-0.0676875263452529,-0.9986314177513124
2,2,SeaHill,0.6702328586578369,0.713735682623727,0.3828434728913837,-0.0838849652897228,0.9973226189613342
3,3,Heritage View,0.9838172912597656,0.0,0.5990588545799256,-0.3036353389422099,0.0
4,4,Limau Park,0.4060227019446237,0.0,0.2702059908346696,-0.3089996576309204,0.0
0,0,Villas Laguna,0.1984518885612488,0.0,0.5978584140539169,0.5981664061546326,0.1667999923229217
1,1,Viz At Holland,0.3332579632600148,0.0,0.0800163646539052,-0.0676875263452529,-0.9986314177513124
2,2,The Shore Residences,0.6702328586578369,0.713735682623727,0.3828434728913837,-0.0838849652897228,0.9973226189613342
3,3,Windy Heights,0.9838172912597656,0.0,0.5990588545799256,-0.3036353389422099,0.0
