,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
0,Sky Green,0.7760660449663798,-0.8097397685050964,0.4951806565125783,0.2144367814064026,0.9988669951756796
1,Glentrees,0.0,0.0,0.0,0.0,0.0
2,Casa Cambio,0.0,0.0,0.0,0.0,0.0
3,Balmoral Luck,0.740395208199819,0.27563732489943504,0.5760598234962999,0.25948265194892883,0.9973583420117696
4,Lorong 40 Geylang,0.0,0.0,0.0,0.0,0.0
5,Beverly Hill,0.0,0.0,0.0,0.0,0.0
6,Hume Park II,0.0,0.0,0.0,0.0,0.0
7,Ardmore II,0.0,0.0,0.0,0.0,0.0
8,Casuarina Cove,0.0,0.0,0.0,0.0,0.0
9,Meadows @ Peirce,0.0,0.0,0.0,0.0,0.0
10,Parc Palais,0.0,0.0,0.0,0.0,0.0
11,Stratum,0.8517071564992269,0.9854305982589722,0.48332097478534863,0.21414059400558472,-0.0033540427684783936
12,Urban Resort Condominium,0.0,0.0,0.0,0.0,0.0
13,Lloyd Road,0.0,0.0,0.0,0.0,0.0
14,Butterworth 8,0.0,0.0,0.0,0.0,0.0
15,Tampines Central 7,0.0,0.0,0.0,0.0,0.0
16,Monterey Park Condominium,0.0,0.0,0.0,0.0,0.0
17,Elizabeth Heights,0.0,0.0,0.0,0.0,0.0
18,Watten Estate Condominium,0.0,0.0,0.0,0.0,0.0
19,Holland Hill Park,0.0,0.0,0.0,0.0,0.0
20,Gardenvista,0.49921884536743166,0.5873511731624603,0.33032003274330723,0.012556658549742266,0.5566074715720283
21,Lush Acres,0.798120257400331,0.5959867338339487,0.7052148963723864,-0.17994332313537598,0.0922120213508606
22,Hillbrooks,0.0,0.0,0.0,0.0,0.0
23,Chelsea Gardens,0.0,0.0,0.0,0.0,0.0
24,The Legend,0.0,0.0,0.0,0.0,0.0
25,Sixth Avenue Ville,0.0,0.0,0.0,0.0,0.0
26,Hundred Palms Residences,0.0,0.0,0.0,0.0,0.0
27,The Pearl @ Mount Faber,0.0,0.0,0.0,0.0,0.0
28,Royal Palm Mansions,0.0,0.0,0.0,0.0,0.0
29,Seasons View,0.0,0.0,0.0,0.0,0.0
30,Regent Heights,0.0,0.0,0.0,0.0,0.0
31,38 Amber,0.0,0.0,0.0,0.0,0.0
32,Montrosa,0.0,0.0,0.0,0.0,0.0
33,Summer Gardens,0.0,0.0,0.0,0.0,0.0
34,Nassim Jade,0.0,0.0,0.0,0.0,0.0
35,3 Orchard By-The-Park,0.0,0.0,0.0,0.0,0.0
36,The Dairy Farm,0.5894327174153244,0.4224470243567512,0.5673069203722065,0.46016698617201585,0.20294466614723206
37,Queensway,0.0,0.0,0.0,0.0,0.0
38,Gold Coast Condo,0.0,0.0,0.0,0.0,0.0
39,Duet,0.0,0.0,0.0,0.0,0.0
40,The Azure,0.0,0.0,0.0,0.0,0.0
41,Tanglin Regency,0.0,0.0,0.0,0.0,0.0
42,West Coast Road,0.7093022609865942,0.6408884434989004,0.6850012315644158,0.5790627707134594,0.5269773707670324
43,The Arte,0.0,0.0,0.0,0.0,0.0
44,The Criterion,0.0,0.0,0.0,0.0,0.0
45,Country Park Condominium,0.0,0.0,0.0,0.0,0.0
46,The Levelz,0.0,0.0,0.0,0.0,0.0
47,Boon Teck Towers,0.0,0.0,0.0,0.0,0.0
48,Oleanas Residence,0.0,0.0,0.0,0.0,0.0
49,Heron Bay,0.0,0.0,0.0,0.0,0.0
